contract_id,lead_id,contract_created_at,plan_type,monthly_revenue,contract_term_months
C001,L002,2024-11-15T10:30:00Z,basic,2990.00,12
C002,L005,2024-11-18T14:00:00Z,pro,5990.00,24
C003,L008,2024-11-22T09:15:00Z,enterprise,14990.00,12
C004,L012,2024-11-25T11:45:00Z,pro,5990.00,12
C005,L015,2024-11-28T16:20:00Z,basic,2990.00,24
C006,L019,2024-12-02T08:00:00Z,enterprise,19990.00,24
C007,L023,2024-12-05T13:30:00Z,pro,5990.00,12
C008,L027,2024-12-09T10:00:00Z,basic,2990.00,12
C009,L031,2024-12-12T15:45:00Z,pro,5990.00,24
C010,L034,2024-12-16T09:30:00Z,enterprise,14990.00,12
C011,L038,2024-12-19T11:00:00Z,basic,2990.00,12
C012,L041,2024-12-22T14:20:00Z,pro,5990.00,12
C013,L044,2024-12-28T10:15:00Z,enterprise,19990.00,24
C014,L048,2025-01-03T08:45:00Z,pro,5990.00,24
C015,L051,2025-01-06T12:00:00Z,basic,2990.00,12
C016,L055,2025-01-10T16:30:00Z,enterprise,14990.00,12
C017,L058,2025-01-14T09:00:00Z,pro,5990.00,12
C018,L060,2025-01-18T11:20:00Z,enterprise,19990.00,24
