lead_id,user_id,lead_created_at,lead_source,company_size,segment,status
L001,U001,2024-11-10T14:22:00Z,inbound,SMB,fleet,qualified
L002,U002,2024-11-12T09:15:00Z,inbound,Enterprise,fleet,qualified
L003,U003,2024-11-12T11:40:00Z,referral,SMB,dealership,disqualified
L004,U004,2024-11-13T08:50:00Z,inbound,SMB,insurance,new
L005,U005,2024-11-14T16:30:00Z,inbound,Enterprise,dealership,qualified
L006,U006,2024-11-14T17:05:00Z,outbound,SMB,fleet,disqualified
L007,U007,2024-11-15T10:00:00Z,inbound,SMB,fleet,qualified
L008,U008,2024-11-16T13:20:00Z,inbound,Enterprise,insurance,qualified
L009,U009,2024-11-17T09:45:00Z,referral,SMB,dealership,new
L010,U010,2024-11-17T15:10:00Z,inbound,SMB,fleet,qualified
L011,U011,2024-11-18T11:00:00Z,inbound,Enterprise,fleet,disqualified
L012,U012,2024-11-19T14:35:00Z,inbound,SMB,insurance,qualified
L013,U013,2024-11-20T08:20:00Z,outbound,Enterprise,dealership,new
L014,U014,2024-11-20T12:50:00Z,inbound,SMB,dealership,qualified
L015,U015,2024-11-21T10:15:00Z,inbound,Enterprise,fleet,qualified
L016,U016,2024-11-22T09:00:00Z,referral,SMB,insurance,new
L017,U017,2024-11-22T16:40:00Z,inbound,SMB,fleet,disqualified
L018,U018,2024-11-23T11:30:00Z,inbound,Enterprise,dealership,qualified
L019,U019,2024-11-24T08:45:00Z,inbound,SMB,fleet,qualified
L020,U020,2024-11-25T13:00:00Z,outbound,SMB,insurance,new
L021,U021,2024-11-25T15:20:00Z,inbound,Enterprise,fleet,qualified
L022,U022,2024-11-26T10:00:00Z,inbound,SMB,dealership,disqualified
L023,U023,2024-11-27T14:15:00Z,inbound,Enterprise,insurance,qualified
L024,U024,2024-11-28T09:30:00Z,referral,SMB,fleet,new
L025,U025,2024-11-28T11:45:00Z,inbound,SMB,dealership,qualified
L026,U026,2024-11-29T08:00:00Z,inbound,Enterprise,fleet,qualified
L027,U027,2024-11-30T12:20:00Z,inbound,SMB,insurance,qualified
L028,U028,2024-12-01T10:40:00Z,inbound,SMB,fleet,new
L029,U029,2024-12-02T15:00:00Z,outbound,Enterprise,dealership,qualified
L030,U030,2024-12-03T09:15:00Z,inbound,SMB,fleet,disqualified
L031,U031,2024-12-04T11:30:00Z,inbound,Enterprise,dealership,qualified
L032,U032,2024-12-05T08:45:00Z,inbound,SMB,insurance,new
L033,U033,2024-12-05T14:00:00Z,referral,Enterprise,fleet,qualified
L034,U034,2024-12-06T10:20:00Z,inbound,SMB,fleet,qualified
L035,U035,2024-12-07T13:45:00Z,inbound,Enterprise,insurance,qualified
L036,U036,2024-12-08T09:00:00Z,inbound,SMB,dealership,new
L037,U037,2024-12-09T16:10:00Z,outbound,SMB,fleet,qualified
L038,U038,2024-12-10T11:00:00Z,inbound,Enterprise,dealership,qualified
L039,U039,2024-12-11T08:30:00Z,inbound,SMB,insurance,disqualified
L040,U040,2024-12-12T14:20:00Z,inbound,Enterprise,fleet,qualified
L041,U041,2024-12-13T10:45:00Z,inbound,SMB,fleet,qualified
L042,U042,2024-12-14T09:15:00Z,referral,SMB,dealership,new
L043,U043,2024-12-15T12:00:00Z,inbound,Enterprise,insurance,qualified
L044,U044,2024-12-16T15:30:00Z,inbound,SMB,dealership,qualified
L045,U045,2024-12-17T08:00:00Z,inbound,SMB,fleet,disqualified
L046,U046,2024-12-18T11:20:00Z,outbound,Enterprise,fleet,qualified
L047,U047,2024-12-19T10:00:00Z,inbound,SMB,insurance,new
L048,U048,2024-12-20T13:45:00Z,inbound,Enterprise,fleet,qualified
L049,U049,2024-12-21T09:30:00Z,inbound,SMB,dealership,qualified
L050,U050,2024-12-22T16:00:00Z,referral,Enterprise,insurance,new
L051,U051,2024-12-23T08:45:00Z,inbound,SMB,fleet,qualified
L052,U052,2024-12-24T12:10:00Z,inbound,Enterprise,dealership,disqualified
L053,U053,2024-12-26T10:30:00Z,inbound,SMB,insurance,qualified
L054,U054,2024-12-27T14:00:00Z,inbound,SMB,fleet,new
L055,U055,2024-12-28T11:15:00Z,inbound,Enterprise,fleet,qualified
L056,U056,2024-12-29T09:00:00Z,outbound,SMB,dealership,qualified
L057,U057,2024-12-30T15:20:00Z,inbound,Enterprise,insurance,qualified
L058,U058,2025-01-02T08:30:00Z,inbound,SMB,fleet,qualified
L059,U059,2025-01-03T13:00:00Z,inbound,SMB,dealership,new
L060,U060,2025-01-04T10:45:00Z,inbound,Enterprise,insurance,qualified
