event_date,event_timestamp,user_id,session_id,event_name,page_location,device_category,geo_country,traffic_source,traffic_medium,traffic_campaign,engagement_time_msec,value
2024-11-01,1730476800000,anon_101,sess_101_1,page_view,https://autotech.com/,desktop,BR,google,organic,,12500,
2024-11-01,1730476812000,anon_101,sess_101_1,view_item,https://autotech.com/solutions/fleet,desktop,BR,google,organic,,8200,
2024-11-01,1730476820000,anon_101,sess_101_1,form_start,https://autotech.com/contact,desktop,BR,google,organic,,0,
2024-11-02,1730563200000,U001,sess_u001_1,page_view,https://autotech.com/,desktop,BR,google,cpc,campaign_fleet_q4,15000,
2024-11-02,1730563215000,U001,sess_u001_1,view_item,https://autotech.com/solutions,desktop,BR,google,cpc,campaign_fleet_q4,9200,
2024-11-02,1730563224000,U001,sess_u001_1,form_start,https://autotech.com/demo,desktop,BR,google,cpc,campaign_fleet_q4,0,
2024-11-02,1730563230000,U001,sess_u001_1,form_submit,https://autotech.com/demo,desktop,BR,google,cpc,campaign_fleet_q4,0,
2024-11-02,1730563235000,U001,sess_u001_1,lead_generated,https://autotech.com/thank-you,desktop,BR,google,cpc,campaign_fleet_q4,0,1
2024-11-05,1730822400000,U002,sess_u002_1,page_view,https://autotech.com/,mobile,BR,linkedin,referral,,11200,
2024-11-05,1730822411000,U002,sess_u002_1,view_item,https://autotech.com/pricing,mobile,BR,linkedin,referral,,6800,
2024-11-05,1730822418000,U002,sess_u002_1,form_start,https://autotech.com/demo,mobile,BR,linkedin,referral,,0,
2024-11-05,1730822425000,U002,sess_u002_1,form_submit,https://autotech.com/demo,mobile,BR,linkedin,referral,,0,
2024-11-05,1730822430000,U002,sess_u002_1,lead_generated,https://autotech.com/thank-you,mobile,BR,linkedin,referral,,0,1
2024-11-05,1730822440000,U002,sess_u002_1,demo_requested,https://autotech.com/demo-booked,mobile,BR,linkedin,referral,,0,1
2024-11-08,1731078000000,U003,sess_u003_1,page_view,https://autotech.com/,desktop,BR,(direct),none,,8400,
2024-11-08,1731078008000,U003,sess_u003_1,form_start,https://autotech.com/contact,desktop,BR,(direct),none,,0,
2024-11-08,1731078012000,U003,sess_u003_1,form_submit,https://autotech.com/contact,desktop,BR,(direct),none,,0,
2024-11-08,1731078016000,U003,sess_u003_1,lead_generated,https://autotech.com/thank-you,desktop,BR,(direct),none,,0,1
2024-11-10,1731250800000,U004,sess_u004_1,page_view,https://autotech.com/,desktop,BR,google,organic,,9500,
2024-11-10,1731250809000,U004,sess_u004_1,view_item,https://autotech.com/solutions/insurance,desktop,BR,google,organic,,7200,
2024-11-10,1731250816000,U004,sess_u004_1,form_start,https://autotech.com/demo,desktop,BR,google,organic,,0,
2024-11-10,1731250822000,U004,sess_u004_1,form_submit,https://autotech.com/demo,desktop,BR,google,organic,,0,
2024-11-10,1731250827000,U004,sess_u004_1,lead_generated,https://autotech.com/thank-you,desktop,BR,google,organic,,0,1
2024-11-12,1731423600000,U005,sess_u005_1,page_view,https://autotech.com/,desktop,BR,google,cpc,campaign_dealer_2024,18200,
2024-11-12,1731423618000,U005,sess_u005_1,view_item,https://autotech.com/solutions/dealership,desktop,BR,google,cpc,campaign_dealer_2024,10500,
2024-11-12,1731423628000,U005,sess_u005_1,login,https://autotech.com/app,desktop,BR,google,cpc,campaign_dealer_2024,0,
2024-11-12,1731423635000,U005,sess_u005_1,form_start,https://autotech.com/demo,desktop,BR,google,cpc,campaign_dealer_2024,0,
2024-11-12,1731423642000,U005,sess_u005_1,form_submit,https://autotech.com/demo,desktop,BR,google,cpc,campaign_dealer_2024,0,
2024-11-12,1731423648000,U005,sess_u005_1,lead_generated,https://autotech.com/thank-you,desktop,BR,google,cpc,campaign_dealer_2024,0,1
2024-11-12,1731423655000,U005,sess_u005_1,demo_requested,https://autotech.com/demo-booked,desktop,BR,google,cpc,campaign_dealer_2024,0,1
2024-11-12,1731430800000,U006,sess_u006_1,page_view,https://autotech.com/,mobile,BR,facebook,cpc,retarget_fleet,6200,
2024-11-12,1731430806000,U006,sess_u006_1,form_start,https://autotech.com/contact,mobile,BR,facebook,cpc,retarget_fleet,0,
2024-11-12,1731430810000,U006,sess_u006_1,form_submit,https://autotech.com/contact,mobile,BR,facebook,cpc,retarget_fleet,0,
2024-11-12,1731430814000,U006,sess_u006_1,lead_generated,https://autotech.com/thank-you,mobile,BR,facebook,cpc,retarget_fleet,0,1
2024-11-14,1731596400000,U007,sess_u007_1,page_view,https://autotech.com/,desktop,BR,google,organic,,8800,
2024-11-14,1731596408000,U007,sess_u007_1,view_item,https://autotech.com/customers,desktop,BR,google,organic,,5400,
2024-11-14,1731596414000,U007,sess_u007_1,form_start,https://autotech.com/demo,desktop,BR,google,organic,,0,
2024-11-14,1731596420000,U007,sess_u007_1,form_submit,https://autotech.com/demo,desktop,BR,google,organic,,0,
2024-11-14,1731596425000,U007,sess_u007_1,lead_generated,https://autotech.com/thank-you,desktop,BR,google,organic,,0,1
2024-11-15,1731682800000,U008,sess_u008_1,page_view,https://autotech.com/,desktop,BR,linkedin,referral,,13200,
2024-11-15,1731682813000,U008,sess_u008_1,view_item,https://autotech.com/solutions/insurance,desktop,BR,linkedin,referral,,9800,
2024-11-15,1731682823000,U008,sess_u008_1,form_start,https://autotech.com/demo,desktop,BR,linkedin,referral,,0,
2024-11-15,1731682829000,U008,sess_u008_1,form_submit,https://autotech.com/demo,desktop,BR,linkedin,referral,,0,
2024-11-15,1731682835000,U008,sess_u008_1,lead_generated,https://autotech.com/thank-you,desktop,BR,linkedin,referral,,0,1
2024-11-15,1731682842000,U008,sess_u008_1,demo_requested,https://autotech.com/demo-booked,desktop,BR,linkedin,referral,,0,1
